LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-04-02 22:35:07,1900-01-00 00:00:00,,A0:2D:13:51:91:EC,-78, ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:07,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:07,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:07,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:07,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:07,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:07,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:08,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:09,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-77, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-84, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:10,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:11,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-88, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:12,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-83, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-78, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-79, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:13,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-82, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-85, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-80, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-87, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-86, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:14,1900-01-00 00:00:00,Wi-Fi,A0:2D:13:51:91:EC,-81, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-04-02 22:35:15,1900-